title,description,employer,type,location,publishedDate,expirationDate,applyLink
React Native Mobile Developer,"Recruitment of React Native mobile developer<br><br>Company Name: Leratel SAS<br><br>Type of contract: 3 months trial (paying) then permanent contract if successful<br><br>Location: Yaoundé Etoug-Ebe<br><br>Job Title: React Native Mobile Developer<br><br>Job Description: We are looking for a qualified mobile developer to join our engineering team. The ideal candidate will have solid experience in developing mobile applications using React Native technology.<br><br>Duties / Responsibilities / Activities :<br><br><br><br>Work collaboratively with other team members to design and develop new features;<br><br>Create and maintain mobile applications using React Native;<br><br>Ensure code and feature quality by performing unit tests and participating in code reviews;<br><br>Stay up to date with the latest trends and technologies in mobile development.<br><br><br>Skills / Requirements / Qualifications:<br><br><br><br>Proven experience in developing mobile applications using React Native.<br><br>Strong programming skills with JavaScript<br><br>Proficiency in React, Redux<br><br>Strong knowledge of user interface (UI) and user experience (UX) concepts<br><br>Ability to work in a team and communicate effectively<br><br>Knowledge with the Laravel framework will be highly appreciated<br><br>Degree in computer science or related field<br><br><br>Candidate's softskills:<br><br><br><br>Good interpersonal skills<br><br>Good communication skills<br><br>Rigorous<br><br>Good analytical skills<br><br>Good organisation of work and tasks in an autonomous way and in accordance with the specific objectives of this contract<br><br>Passionate about new technologies and development<br><br><br>Application documents<br><br>Submit your complete application in one file<br><br><br><br>Curriculum Vitae<br><br>Photocopy of the national identity card<br><br><br>RESEARCH PROFILE<br><br><br><br>Academic level: Minimum BAC +3 in computer science (Software Engineering), engineering or other related field<br><br>Availability: June 2023 (Available for a paid trial period of 03 months)<br><br>Knowledge of API integration and Microservice architecture<br><br>Good knowledge of E-marketing<br><br>Age: 20 - 33 years old<br><br><br>What we offer:<br><br><br><br>Refresher training;<br><br>Productivity-oriented environment;<br><br>Work on concrete and innovative projects<br><br><br>Send us your application to contact@leratel.com no later than 25/05/2023 at 4pm, specifying ""Mobile Web Developer"".<br><br>NB: We only receive offers at contact@leratel.com",Leratel SAS,Employment contract:,Yaoundé,15-05-2023,26-05-2023,mailto:contact@leratel.com
Management controller,"OFFRE D'EMPLOI : CONTROLEUR DE GESTION (H/F)<br><br>Nous recrutons pour un de nos clients, Hôtel 4 étoiles de la ville de douala, un CONTROLEUR DE GESTION (H/F).<br><br>Activités principales<br><br><br><br>Établir les méthodes et procédures nécessaires au contrôle des dépenses ;<br><br>Calculer, en partenariat avec la direction et les services concernés, les budgets et en suivre les évolutions ;<br><br>Identifier les risques liés au contrôle des coûts et mettre en place des mesures correctives ;<br><br>Assurer un reporting régulier (rapports mensuels d’activité et de contrôle) ;<br><br>Faire le lien entre le Chef de cuisine, le Responsable des points de vente restauration le service des achats, la base de préparation et logistique, les fournisseurs et les différents services de l'hôtel concernés ;<br><br>Réaliser les inventaires et le contrôle des stocks, calculer les ratios F&B ;<br><br>Étudier le choix de fournisseurs alternatifs avec le service des achats en vue d'obtenir des services optimisés et plus rentables ;<br><br>Assurer une bonne gestion des consommables (aliments et boissons ainsi que des autres consommables non comestibles pour les restaurants, le banqueting et traiteur et les cuisines);<br><br>Mettre en place et analyser les stocks et surveillance de la consommation par rapport au volume d'affaires pour éviter tout stockage de produits et de consommables trop important ou insuffisant ;<br><br>Relever régulièrement (quotidien, hebdomadaire et mensuel) les stocks et évaluation du chiffre d'affaires ;<br><br>Transmettre chaque mois des données de contrôle des coûts aux directions financières et d’exploitation et analyser les coûts des consommables et autres frais généraux liés à l'exploitation de l’activité restauration ;<br><br>Assister l'équipe de direction en fournissant des informations et projections fréquentes (bimensuelles) d'analyses des coûts de production par rapport aux objectifs budgétaires et cibles ;<br><br>Surveiller la facturation, les flux de trésorerie des opérations et des comptes débiteurs et créditeurs ;<br><br>Établir les fiches techniques nourriture et boissons avec l'aide des services concernés, notamment pour la mise en place de nouveaux produits de restauration ou de bar ;<br><br>Réaliser diverses analyses sur les ventes (quotidienne, menu engineering, produits best sellers...) et évaluer la rentabilité des éléments du menu par rapport à leur rentabilité et transmettre les résultats à la direction ;<br><br>Contrôler l’évolution et les coûts des offerts restauration (invitations clients, restauration du personnel, …) ;<br><br><br>Exigences <br><br><br><br>Bonne connaissance du secteur hôtelier <br><br>Bonne connaissance de la comptabilité OHADA et de la fiscalité camerounaise<br><br>Bonne connaissance des techniques de contrôle<br><br>Bonne connaissance des logiciels de comptabilité et du pack Office<br><br>Minimum Bac + 5 <br><br>Expérience d’au moins 5 ans dans un poste équivalent<br><br><br>Comment candidater : Lettre de motivation et  curriculum vitæ à contact@diagnoscritik.com avec en Objet : CONH01<br><br>Date limite  candidature samedi 30 mai 2023<br><br>Lieu de travail : Douala Bonanjo",DIAGNOSCRITIK,Employment contract:,Douala,08-05-2023,30-05-2023,mailto:contact@diagnoscritik.com
Web Developer,"RECRUTEMENT<br><br>ESOAF (Engineering and Software from Africa) est une société de service informatique spécialisée dans le développement d'applications web et de solutions autour de la DATA. Pour son extension au Cameroun, ESOAF recherche deux (02) nouveaux stagiaires développeurs PYTHON/DJANGO à Yaoundé pour la période de six (06) mois renouvelables avec possibilité de rester dans l’entreprise si le stage est concluant.<br><br>Mission:<br><br><br><br>Vous intervenez au sein de l’activité de développement d’application web en tant que développeur orienté sur les technologies suivantes: PYTHON (excellent), DJANGO (excellent)<br><br>Vous réalisez l’analyse, la conception et la réalisation à partir d’expression de besoin.<br><br>Vous réalisez l’ensemble des activités dans le cadre de la méthode AGILSCRUM<br><br>Vous dépendez d’un chef de projet<br><br><br>PROFIL RECHERCHE<br><br><br><br>Bac+3<br><br><br>COMPÉTENCES REQUISES<br><br><br><br>Connaissance de JQUERY, CSS, HTML, CSS 3, BOOTSTRAP, PYTHON (excellent), DJANGO (excellent)<br><br>Maîtrise de la manipulation des fichiers JSON/XML/CSV<br><br>Bon niveau rédactionnel<br><br>Curiosité et veille technologique<br><br>Autonomie<br><br>Capacité à travailler en équipe et également avec des personnes à distance. Votre dynamisme et votre esprit d'initiative sauront faire la différence.<br><br><br>Lieu de travail : Yaoundé.<br><br>Email: contact@h2altitude.com",ESOAF,Kind of job internship,Yaoundé,15-05-2023,16-06-2023,mailto:contact@h2altitude.com
web development,"Professional Internship in Web Development<br><br>Electram Engineering, a leading renewable energy company, seeks highly motivated and talented Web Development students or entry-level professionals to join our Professional Internship program. We prioritize female applicants and are committed to building a diverse and inclusive team.<br><br>As a Web Development intern at Electram Engineering, you will be working on various web projects and collaborating with our team of designers, developers, and marketing professionals. The successful candidates will be responsible for designing, coding, and testing web pages using various programming languages and content management systems.<br><br>Requirements:<br><br><br><br>Must be pursuing or have completed a degree in Web Development, Computer Science, or related field.<br><br>Strong knowledge of HTML, CSS, JavaScript, and PHP.<br><br>Ability to work with WordPress and custom post types.<br><br>Strong analytical and problem-solving skills.<br><br>Passion for renewable energy solutions and eagerness to learn.<br><br><br>Preferred:<br><br><br><br>Knowledge or experience working with front-end frameworks such as React or Angular.<br><br>Knowledge or experience in search engine optimization (SEO) and website performance optimization.<br><br>Experience with CMS and APIs<br><br><br>If you want to join our team, please submit your resume and cover letter to info@electram.cm by Friday, March 31st, 2023. <br><br>We look forward to hearing from you!",Electram Engineering,Kind of job internship,Yaoundé,28-03-2023,31-03-2023,mailto:info@electram.cm
Metal Construction Engineer,"APPEL A CANDIDATURES<br><br>GOLF OF GUINEA ENGINEERING société à responsabilité limitée créée en 2012, spécialisée dans le Génie Civil et la Construction Métallique, recherche pour les besoins de ses services dans la ville de Douala des INGENIEURS EN CONSTRUCTION METALLIQUE.<br><br>Contenu du poste <br><br><br><br>Réaliser des visites de site pour la prise de métrés ;<br><br>Réaliser et proposer des réponses aux appels d’offres (chiffrage et devis quantitatifs) ;<br><br>Mettre à jour de façon permanente les modèles des offres de service afin qu’ils soient de plus en plus compétitifs ;<br><br>Assurer la préparation et le montage des dossiers chantier suivant les procédures internes ;<br><br>S’assurer à partir du dossier technique de la disponibilité des différents outils et moyens permettant l’exécution des travaux ;<br><br>Coordonner et piloter les travaux pour assurer au client un résultat optimal en termes de qualité de coûts et de délais ;<br><br>Contrôler les différents livrables par tâches, lot et pour l’ensemble du projet ;<br><br>Suivre l’avancement des projets et le niveau d’engagement des ressources des projets ;<br><br>Surveiller l’exécution des travaux et contrôler les rapports des chefs chantier/chef d’équipe ;<br><br>Veiller au respect du cahier de charge pendant l’exécution des travaux ;<br><br>Prendre en charge la gestion du planning de travail ;<br><br>Veiller au respect des contraintes budgétaires et techniques liées à chaque projet ;<br><br>Anticiper sur la réception des travaux et les facturations y afférentes.<br><br><br>Profil/compétences clés<br><br><br><br>Être titulaire d’un diplôme d’ingénieur en construction métallique;<br><br>Avoir au moins 3 ans d’expériences pertinente de travail continu dans un poste similaire ;<br><br>Avoir une excellente connaissance pratique de MS office ;<br><br>Avoir une excellente connaissance des logiciels de conception et de visualisation tels qu’AutoCAD ;<br><br>Pouvoir faire la schématisation des plans sur les logiciels : DAO et CAO 2et 3D<br><br>Avoir la capacité à travailler avec des projets impliquant diverses disciplines ;<br><br>Avoir une maîtrise des principes en gestion et supervision des projets ;<br><br>Avoir une bonne capacité de communication et d’analyse ;<br><br>Avoir une orientation vers l’atteinte des résultats et une capacité à travailler de façon autonome ;<br><br>Avoir une bonne maitrise de la langue française, une connaissance pratique de l’anglais serait un atout supplémentaire.<br><br><br>Les Candidat (e) s intéressé (e) s devront transmettre leurs dossiers de candidatures (lettre de motivation et CV) au plus tard le 19 juin 2023 à l’adresse suivante : rh@2gengineering.net<br><br>Notez : seuls les candidats présélectionnés seront contactés.",GOLF OF GUINEA ENGINEERING,Employment contract:,Douala,06-06-2023,19-06-2023,mailto:rh@2gengineering.net
Vacuum reading,"OPPORTUNITY<br><br>The British Higher Institute of Science and Technology with authorization number 19-05013/L/MINESUP/SG/DDS/FSUP/SDA/AOSB, of April 19th, 2019 is seeking qualified and motivated individuals to join our esteemed faculty as Lecturers in the following HND and Bachelors Programs;<br><br><br><br>Software Engineering (04)<br><br>Electrical and Electronics Engineering (02)<br><br>Logistics and Transport Management (03)<br><br>Civil Engineering (02)<br><br>Mechanical Engineering (02)<br><br><br>Responsibilities:<br><br><br><br>Prepare and deliver lectures, seminars, and tutorials to undergraduate students in respective programs<br><br>Develop lesson plans and teaching materials<br><br>Conduct assessments and examinations and provide timely feedback to students.<br><br>Supervise students’ projects internships and dissertations<br><br>Participate in curriculum development and program review initiatives<br><br>Provide academic advising and mentorship to students<br><br><br>Qualification<br><br><br><br>Minimum of a Master’s degree in the relevant field is required. A Ph.D. is highly desirable<br><br>Prior teaching experience at undergraduate level will be an added advantage.<br><br>Strong subject knowledge and expertise in the respective field<br><br>Demonstrates ability to engage and inspire students in a classroom setting.<br><br>Ability to work collaboratively with colleagues and contribute to a positive learning environment<br><br><br>Application Procedure:<br><br>Interested candidates are invited to submit their application, including the following documents:<br><br><br><br>Cover letter stating the position they are applying for and their motivation for joining British Higher Institute of Science and Technology.<br><br>Curriculum Vitae (CV) highlighting their educational qualifications, teaching experience and any other relevant information.<br><br>Copies of academic certificates<br><br>Contact information of at least two professional references<br><br><br>Applications should be submitted via email to academics@bhist.com and copy chnkoli@gmail.com on later than August 20th, 2023. Please indicate “e.g. Software Engineering Lecturer Vacancy Application” in the subject line of the email.<br><br>Shortlisted candidates will be contacted for an interview and may be required to provide additional Documentation.",British Higher Institute of Science and Technology,Employment contract:,Douala,17-07-2023,20-08-2023,mailto:academics@bhist.com
Community Development/Digital Marketing,"Professional Internship in Community Development/Digital Marketing<br><br>Electram Engineering, a leading renewable energy company, is looking for talented and motivated Digital Marketing/Community Management students or entry-level professionals to join our Professional Internship program. We are committed to building a diverse and inclusive team and encourage female applicants to apply.<br><br>As a Digital Marketing/Community Management intern at Electram Engineering, you will have the opportunity to work closely with our marketing team and gain practical experience in the digital marketing industry. The successful candidates will be responsible for developing and executing digital marketing campaigns, managing social media platforms, and engaging with our online community.<br><br>Requirements:<br><br><br><br>Must be pursuing or have completed a degree in Digital Marketing, Communications, Public Relations, or related field.<br><br>Excellent written and verbal communication skills.<br><br>Strong organizational and multitasking abilities.<br><br>Creative problem solver with a strong work ethic.<br><br>Passion for renewable energy solutions and eagerness to learn.<br><br><br>Preferred:<br><br><br><br>Knowledge or experience working with WordPress.<br><br>Knowledge or experience with social media management platforms such as Zoho Social.<br><br>Knowledge or experience in growing and reaching target audiences on all social media platforms.<br><br><br>If you are interested in joining our team, please submit your resume and cover letter to info@electram.cm by Saturday April 15th, 2023. <br><br>We look forward to hearing from you!",Electram Engineering,Kind of job internship,Yaoundé,03-04-2023,15-04-2023,mailto:info@electram.cm
Administrative Assistant,"JOB ADVERT : Administrative Assistant Entry Level Professional Position<br><br>Electram Engineering, a leading renewable energy company, is seeking highly motivated and talented administrative assistant entry-level professionals to join our team. We prioritize female applicants and are committed to building a diverse and inclusive team.<br><br>As an administrative assistant, you will be responsible for providing administrative support to our team, handling incoming and outgoing correspondence, scheduling appointments and meetings, and managing our social media platforms. The successful candidate must reside at very close proximity to Melen, Yaounde.<br><br>Requirements:<br><br><br><br>Must be a female entry-level professional.<br><br>Excellent organizational and time-management skills.<br><br>Strong communication and interpersonal skills.<br><br>Proficient in Microsoft Office and Google Suite.<br><br>Ability to work with WordPress and social media platforms.<br><br><br>Preferred:<br><br><br><br>Knowledge or experience working with social media management platforms such as Zoho Social.<br><br>Knowledge or experience in providing administrative support to a team.<br><br><br>If you are interested in joining our team, please submit your resume and cover letter to info@electram.cm by Saturday April 15th, 2023. <br><br>We look forward to hearing from you!",Electram Engineering,Employment contract:,Yaoundé,03-04-2023,15-04-2023,mailto:info@electram.cm
Stem Trainer Volunteer,"OPPORTUNITY<br><br>STEM Ignite is seeking passionate and experienced STEM trainers to volunteer during our summer camp. As a STEM trainer, you will have the opportunity to inspire the next generation of innovators and technology leaders.<br><br>We are looking for individuals who can use creative and engaging ways to inspire youths to pursue STEM education tracks. <br><br>Ideal candidates will be engineers or engineering students with a background in one or more of the following areas: robotics, 3D modeling, cyber security, computer programming, electronics, mechanical engineering or structural engineeing.<br><br>Responsibilities:<br><br><br><br>Lead and facilitate engaging hands-on activities and workshops to educate and inspire students in STEM subjects.<br><br>Develop and adapt curriculum to meet the needs of a diverse group of students with varying levels of experience.<br><br>Provide mentorship and guidance to students throughout the camp.<br><br>Collaborate with other trainers and staff to ensure a successful camp experience.<br><br><br>Requirements:<br><br><br><br>Passionate about STEM education and inspiring youth to pursue STEM fields.<br><br>Experienced in one or more of the following areas: robotics, 3D modeling, cyber security, computer programming, electronics, mechanical engineering or structural engineeing.<br><br>Strong communication and interpersonal skills.<br><br>Ability to work collaboratively with other trainers and staff.<br><br>Flexibility and adaptability to meet the needs of a diverse group of students.<br><br>Must pass a background check.<br><br><br>If you are interested in applying for this volunteer position, please send your resume and a brief cover letter highlighting your qualifications to volunteer@stemignite.org<br><br>Thank you for your interest in volunteering with STEM Ignite and helping to shape the next generation of innovators and technology leaders",STEM Ignite,Kind of job internship,Yaoundé,11-04-2023,30-04-2023,mailto:volunteer@stemignite.org
Field Civil Engineer,"JOB ADVERT<br><br>Seeking Hard-Working, Dedicated Field Civil Engineer in Cameroon<br><br>Innovation: Africa<br><br>Background<br><br>Innovation: Africa (iA) is a non-profit 501(c)(3) organization whose team of dedicated problem solvers work together to bring solar and water technologies to rural communities in Africa. We use solar energy to pump clean water and provide schools, orphanages, and medical clinics with light and refrigeration to store vaccines and medicines. iA has completed over 650 solar, water, and agricultural projects, providing light, clean water, food and proper medical care to more than 3 million people in Ethiopia, Tanzania, Malawi, South Africa, Uganda, Cameroon, Senegal and the Democratic Republic of Congo.<br><br>Job Summary<br><br>We are seeking a highly trained and qualified individual to join our Cameroon team as a Field Civil Engineer based in Garoua. This position works under the supervision of the local Project Manager and is responsible for overseeing iA’s solar water pumping systems, technical implementation, liaison with local solar water contractors and in-house engineers, as well as providing technical support in all sites post completion ensuring that all projects meet iA standard and structural integrity. The Field Civil Engineer will also be responsible for all iA field activities, including identifying and selecting the beneficiaries of our projects, actively engaging in community mobilization and sensitization, establishing and maintaining regular communication with the communities we serve, implementing project-related activities, providing regular reports and ongoing monitoring of the projects. As this is predominantly in-the-field work, candidates should expect frequent travel to the field to identify new projects, oversee the construction and implementation of ongoing projects, and monitor completed projects. <br><br>Reports To: Local Project Manager & Country Director in Israel<br><br>Responsibilities<br><br><br><br>Oversee all field operations related to solar powered water projects, including prospective project search, project construction/implementation, and monitoring and evaluation<br><br>Work closely with the local contractor to plan and design all solar water pumping systems, blueprints and implement all civil construction works<br><br>Where relevant, work closely with the local contractor to plan, design and implement drip irrigation systems<br><br>Oversee technical implementation of all water systems and serve as technical point person for all system designs, water tower construction works, water distribution point construction, structural design analysis and checking materials used during construction<br><br>Manage on-site work during all stages of the system construction and installation<br><br>Independently assess needs for maintenance work (post-installation) in projects where a malfunction exists <br><br>Maintain regular contact with Innovation: Africa’s engineers in Israel to successfully implement and monitor new solar technologies and remote monitoring systems<br><br>Continually monitor the progress of ongoing field installation and maintenance activities<br><br>Conduct community technical trainings and sensitization to all iA water and drip system beneficiaries on water management for water and agricultural use<br><br>Appropriately sensitize the communities we work with, including establishing project steering committees to maintain the project<br><br>Support the Project Manager to manage relationships with municipal officers, local leaders, and international stakeholders <br><br>Send daily updates and regular progress reports to international management team regarding prospective projects, construction and implementation of current projects, and monitor existing projects<br><br>Research and implementation of best construction practices and equipment in all iA projects<br><br><br>Qualifications<br><br>The ideal candidate is a dedicated team-player with strong interpersonal skills and a background in solar powered water systems. Applicants must have competitive experience in community development and mobilization, as well as experience working with international stakeholders. The candidate must demonstrate a proven passion for working with the community and possess strong detail orientation and problem-solving skills. <br><br>Compensation<br><br><br><br>Commensurate with experience. <br><br><br>Requirements<br><br><br><br>Bachelor’s Degree or professional diploma in Civil Engineering or closely related field with an emphasis on water projects<br><br>At least 3 years' experience working with a structural engineering company with vast experience in construction works<br><br>Experience supervising civil works in NGO community development projects<br><br>Ability to design systems using various design applications; e.g AutoCAD <br><br>Technologically oriented with excellent computer skills, including proficiency in email and Microsoft Office software<br><br>Driver’s license<br><br>Ability to commit to flexible working hours, including weekends<br><br>High proficiency in English and French; both writing and speaking<br><br>Ability to relocate to Garoua District<br><br>Able to speak local languages of the region and with a good personality<br><br><br>As an international organization, our team works in New York, Israel, and Africa, and is constantly on the move. To maintain close contact despite our travel schedules, we regularly use technology solutions, such as Slack, Zoom and more. The ideal candidate thrives in this type of fast-paced environment and is comfortable working with colleagues in different time zones and continents.  <br><br>Application Instructions<br><br><br><br>Please send your cover letter and CV as a single PDF attachment to cameroon.civil@innovation-africa.odoo.com<br><br>The file name should be saved as your full name.<br><br>Please include the position and country for which you are applying to work in the subject line of the email “Field Civil Engineer in Cameroon”<br><br>Female candidates are encouraged to apply.<br><br><br>Innovation: Africa is an equal opportunity employer, dedicated to inclusivity, a diverse workforce and valuing difference. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.",Africa,Employment contract:,Garoua,25-04-2023,01-06-2023,mailto:cameroon.civil@innovation-africa.odoo.com
