title,description,employer,type,location,publishedDate,expirationDate,applyLink
Display Software Developer C++ ,"JOB ADVERT<br><br>TAKENCO is an engineering and consulting firm specialized in IT Solutions, Human Resources Management, Management and Recruiting. TAKENCO provides its customers with proven methodologies, innovative approaches and expertise of its consultants.<br><br>For our subsidiary based in Yaounde - Cameroon we are looking for a Display Software Developer C++ M/F<br><br>Your field of activity:<br><br><br>	Code and configure applications in C++, Python, Bash, XML.<br>	Design your code in UML (PlantUML, Enterprise Architect).<br>	Document and design near to code (Docs like code paradigm).<br>	Work in highly agile, majority-long term projects (2-3 years).<br>	Collaborate with developers, project managers, system integrators, test engineers and customers.<br>	● Opportunity to accept the challenge to lead a project team as a ""lead developer"".<br><br><br>Your profile:<br><br><br>	Engineer with a specialization in computer science, telecommunication or electrical engineering and focus on software development or you have acquired comparable competencies in complex software projects.<br>	C++, Python and Bash skills are required.<br>	LINUX operating system and virtualization technology (Docker/Vagrant) knowledge is an advantage.<br>	Knowhow in VoIP streaming technologies (SIP/RTP) and the corresponding libraries and tools (pjsip/Asterisk) knowledge is an advantage.<br>	Network technologies (L2/L3), IT security, cryptography, Wireshark, Python, bash, web development and MQTT knowledge is an advantage.<br>	English in word and writing are required, French or German are highly appreciated.<br>	Ability to learn new topics independently<br>	Reliability, personal responsibility and enjoyment of working with other people<br>	Minimum 3 years of experience<br><br><br>Contractual conditions:<br><br><br>	Expected start date: 01/06/2021<br>	Job type : Full time, long term contract<br>	Hours : Monday to Friday (Saturdays if needed)<br><br><br>Are you interested?<br><br>Send your application by May 16, 2021 at 5:00 p.m. at the latest to the attention of Mrs. Komguem at the following email address: hrservices@takenco.com<br><br>Documents to attach:<br><br><br>	A letter of motivation<br>	Resume (CV)<br>	Your diplomas (copied or scanned), in addition to any certifications in the field",TAKENCO,CDI,Yaoundé,07-05-2021,16-05-2021,mailto:hrservices@takenco.com
Team Lead Senior Software Development C++ ,"JOB ADVERT<br><br>TAKENCO is an engineering and consulting firm specialized in IT Solutions, Human Resources Management, Management and Recruiting. TAKENCO provides its customers with proven methodologies, innovative approaches and expertise of its consultants.<br><br>For our subsidiary based in Yaounde - Cameroon we are looking for a Team Lead Senior Software Development C++ M/F<br><br>Your field of activity:<br><br><br>	You will lead a development team in the field of software.<br>	Your responsibilities include taking over tasks, planning and on-time realization of agreed development projects.<br>	You motivate the team, control the implementation of tasks taking into account qualitative performance measures.<br>	You report and take responsibility for the development results to the management board.<br>	In addition, you introduce new processes, optimize and standardize them.<br>	Your involvement in the design of new organizational structures and strategies is desired.<br>	In your position you will develop software and interfaces for modern infotainment systems and support the maintenance and further development of our existing TFT/LED displays software solutions.<br>	You will create technical concepts and specifications for your software and implement them on Linux systems in C and C++.<br>	You will support the integration of the systems by creating test specifications and performing software and system tests.<br>	Furthermore, the technical customer contact is part of your tasks.<br><br><br>Your profile:<br><br><br>	You have a successfully completed degree in computer science, mathematics, software engineering, electrical engineering or comparable.<br>	Several years of professional experience as a developer C++ (m/) and thereof in a leading position of a development team.<br>	Very good knowledge of English. French or German are highly appreciated.<br>	Very good knowledge in programming languages C and C++, UML and Linux systems<br>	Good knowledge of object-oriented design and programming<br>	Knowledge of process models in development, configuration management and quality assurance.<br>	Knowledge of agile methods (SCRUM etc.) is an advantage.<br>	Assertiveness and goal orientation.<br>	Reliability, personal responsibility and enjoyment of working with other people<br><br><br>Contractual conditions:<br><br><br>	Expected start date: 01/06/2021<br>	Job type : Full time, long term contract<br>	Hours : Monday to Friday (Saturdays if needed)<br><br><br>Are you interested?<br><br>Send your application by May 16, 2021 at 5:00 p.m. at the latest to the attention of Mrs. Komguem at the following email address: hrservices@takenco.com<br><br>Documents to attach:<br><br><br>	A letter of motivation<br>	Resume (CV)<br>	Your diplomas (copied or scanned), in addition to any certifications in the field",TAKENCO,CDI,Yaoundé,07-05-2021,16-05-2021,mailto:hrservices@takenco.com
Senior Firmware Developer Baseboards - C and C++ M/F ,"JOB ADVERT<br><br>TAKENCO is an engineering and consulting firm specialized in IT Solutions, Human Resources Management, Management and Recruiting. TAKENCO provides its customers with proven methodologies, innovative approaches and expertise of its consultants.<br><br>For our subsidiary based in Yaounde - Cameroon we are looking for a Senior Firmware Developer Baseboards - C and C++ M/F<br><br>Your field of activity:<br><br><br>	Firmware development in C and C++ for TFT displays at low-level (HW-related programming)<br>	Adjustment and improvement of the existing firmware to the respective project (e.g. hardware changes, special requirements)<br>	Error management (investigation of error messages, root cause analysis and correction)<br>	Documentation<br>	Creation of test concepts, test specifications and execution of tests<br>	Co-design of future firmware architectures (software architecture, UML-based)<br>	Coordination with project managers, system engineers and application SW developers.<br>	Supporting the team with ideas and concepts for basic improvements of the SW landscape<br>	Participation in the integration of the systems<br><br><br>Your profile:<br><br><br>	Degree in computer science, telecommunication or electrical engineering (with a focus on software development), IT specialist in application development or comparable qualification with several years of professional experience in software development.<br>	Experience with Lua, Python, Bash<br>	Experience in embedded build systems (Yocto, ptxdist)<br>	Modeling methods and notations for SW architectures (UML)<br>	Good handling of Linux systems (Shell)<br>	Knowledge in basic network technologies<br>	Good knowledge with common hardware related protocols (e.g. SPI, I²C, RS232, etc.)<br>	At least 5 years of practical experience in C and C++<br>	Experience in hardware architectures: AVR32, ARM Cortex-M4<br>	Experience with FreeRTOS operating system<br>	Hardware knowledge (processor architecture, reading schematics, debugging with logic analyzer or oscilloscope) mandatory<br>	Independent and proactive working style<br>	English in word and writing are required, French or German are highly appreciated.<br>	Ability to learn new topics independently<br>	Reliability, personal responsibility and enjoyment of working with other people<br><br><br>Contractual conditions:<br><br><br>	Expected start date: August 2, 2021<br>	Job type : Full time, long term contract<br>	Hours : Monday to Friday (Saturdays if needed)<br><br><br>Are you interested?<br><br>Send your application by July 2, 2021 at 5:00 p.m. at the latest to the attention of Mrs. Komguem at the following email address: hrservices@takenco.com<br><br>Documents to attach:<br><br><br>	A letter of motivation<br>	Resume (CV)<br>	Your diplomas (copied or scanned), in addition to any certifications in the field",TAKENCO,CDI,Yaoundé,08-06-2021,02-07-2021,mailto:hrservices@takenco.com
Display Software Developer C++ ,"JOB ADVERT<br><br>TAKENCO is an engineering and consulting firm specialized in IT Solutions, Human Resources Management, Management and Recruiting. TAKENCO provides its customers with proven methodologies, innovative approaches and expertise of its consultants.<br><br>For our subsidiary based in Yaounde - Cameroon we are looking for a Display Software Developer C++ M/F<br><br>Your field of activity:<br><br><br>	Code and configure applications in C++, Python, Bash, XML.<br>	Design your code in UML (PlantUML, Enterprise Architect).<br>	Document and design near to code (Docs like code paradigm).<br>	Work in highly agile, majority-long term projects (2-3 years).<br>	Collaborate with developers, project managers, system integrators, test engineers and customers.<br>	Opportunity to accept the challenge to lead a project team as a ""lead developer"".<br><br><br>Your profile:<br><br><br>	Engineer with a specialization in computer science, telecommunication or electrical engineering and focus on software development or you have acquired comparable competencies in complex software projects.<br>	C++, Python and Bash skills are required.<br>	LINUX operating system and virtualization technology (Docker/Vagrant) knowledge is an advantage.<br>	Knowhow in VoIP streaming technologies (SIP/RTP) and the corresponding libraries and tools (pjsip/Asterisk) knowledge is an advantage.<br>	Network technologies (L2/L3), IT security, cryptography, Wireshark, Python, bash, web development and MQTT knowledge is an advantage.<br>	English in word and writing are required, French or German are highly appreciated.<br>	Ability to learn new topics independently<br>	Reliability, personal responsibility and enjoyment of working with other people<br>	Minimum 3 years of experience<br><br><br>Contractual conditions:<br><br><br>	Expected start date: August 2, 2021<br>	Job type : Full time, long term contract<br>	Hours : Monday to Friday (Saturdays if needed)<br><br><br>Are you interested?<br><br>Send your application by July 2, 2021 at 5:00 p.m. at the latest to the attention of Mrs. Komguem at the following email address: hrservices@takenco.com<br><br>Documents to attach:<br><br><br>	A letter of motivation<br>	Resume (CV)<br>	Your diplomas (copied or scanned), in addition to any certifications in the field",TAKENCO,CDI,Yaoundé,08-06-2021,02-07-2021,mailto:hrservices@takenco.com
Développeur logiciel TFT Displays C++ ,"OFFRE D'EMPLOI<br><br>TAKENCO est une société d'ingénierie et de conseil spécialisée dans les solutions informatiques, la gestion des ressources humaines, le management et le recrutement. TAKENCO met à la disposition de ses clients des méthodologies éprouvées, des approches innovantes et l'expertise de ses consultants.<br><br>Pour notre filiale basée à Yaoundé - Cameroun, nous recherchons un Développeur logiciel TFT Displays C++ H/F.<br><br>Votre domaine d'activité :<br><br><br>	Coder et configurer des applications en C++, Python, Bash, XML.<br>	Concevoir votre code en UML (PlantUML, Enterprise Architect).<br>	Documentez et concevez près du code (Docs like code paradigm).<br>	Travailler dans des projets hautement agiles, majoritairement à long terme (2-3 ans).<br>	Collaborer avec les développeurs, les chefs de projet, les intégrateurs de systèmes, les ingénieurs de test et les clients.<br>	Possibilité de relever le défi de diriger une équipe de projet en tant que ""lead developer"".<br><br><br>Votre profil :<br><br><br>	Ingénieur avec une spécialisation en informatique, en télécommunication ou en génie électrique et une spécialisation dans le développement de logiciels ou vous avez acquis des compétences comparables dans des projets logiciels complexes.<br>	Des compétences en C++, Python et Bash sont requises.<br>	La connaissance du système d'exploitation LINUX et de la technologie de virtualisation (Docker/Vagrant) est un avantage.<br>	La connaissance des technologies de streaming VoIP (SIP/RTSP) et des bibliothèques et outils correspondants (pjsip/Asterisk) est un avantage.<br>	Les technologies de réseau (L2/L3), la sécurité informatique, la cryptographie, Wireshark, Python, bash, le développement web et la connaissance de MQTT sont un avantage.<br>	L'anglais à l'écrit et à l'oral est requis, le français ou l'allemand sont fortement appréciés.<br>	Capacité à apprendre de nouveaux sujets de manière indépendante<br>	Fiabilité, responsabilité personnelle et plaisir de travailler avec d'autres personnes.<br>	Minimum 3 ans d'expérience<br><br><br>Conditions contractuelles :<br><br><br>	Date de début prévue : 2 août 2021<br>	Type de poste : Temps plein, contrat à durée indéterminée<br>	Horaires : Lundi à vendredi (samedi si nécessaire)<br><br><br>Vous êtes intéressé(e) ?<br><br>Envoyez votre candidature au plus tard le 2 juillet 2021 à 17h00 à l'attention de Mme Komguem à l'adresse électronique suivante : hrservices@takenco.com.<br><br>Documents à joindre :<br><br><br>	Une lettre de motivation<br>	Un curriculum vitae (CV)<br>	Vos diplômes (copiés ou scannés), ainsi que les éventuelles certifications dans le domaine.",TAKENCO,CDI,Yaoundé,08-06-2021,02-07-2021,mailto:hrservices@takenco.com
Team Lead Senior Software Development C++ ,"JOB ADVERT<br><br>TAKENCO is an engineering and consulting firm specialized in IT Solutions, Human Resources Management, Management and Recruiting. TAKENCO provides its customers with proven methodologies, innovative approaches and expertise of its consultants.<br><br>For our subsidiary based in Yaounde - Cameroon we are looking for a Team Lead Senior Software Development C++ M/F<br><br>Your field of activity:<br><br><br>	You will lead a development team in the field of software.<br>	Your responsibilities include taking over tasks, planning and on-time realization of agreed development projects.<br>	You motivate the team, control the implementation of tasks taking into account qualitative performance measures.<br>	You report and take responsibility for the development results to the management board.<br>	In addition, you introduce new processes, optimize and standardize them.<br>	Your involvement in the design of new organizational structures and strategies is desired.<br>	In your position you will develop software and interfaces for modern infotainment systems and support the maintenance and further development of our existing TFT/LED displays software solutions.<br>	You will create technical concepts and specifications for your software and implement them on Linux systems in C and C++.<br>	You will support the integration of the systems by creating test specifications and performing software and system tests.<br>	Furthermore, the technical customer contact is part of your tasks.<br><br><br>Your profile:<br><br><br>	You have a successfully completed degree in computer science, mathematics, software engineering, electrical engineering or comparable.<br>	Several years of professional experience as a developer C++ (m/) and thereof in a leading position of a development team.<br>	Very good knowledge of English. French or German are highly appreciated.<br>	Very good knowledge in programming languages C and C++, UML and Linux systems<br>	Good knowledge of object-oriented design and programming<br>	Knowledge of process models in development, configuration management and quality assurance.<br>	Knowledge of agile methods (SCRUM etc.) is an advantage.<br>	Assertiveness and goal orientation.<br>	Reliability, personal responsibility and enjoyment of working with other people<br><br><br>Contractual conditions:<br><br><br>	Expected start date: August 2, 2021<br>	Job type : Full time, long term contract<br>	Hours : Monday to Friday (Saturdays if needed)<br><br><br>Are you interested?<br><br>Send your application by July 2, 2021 at 5:00 p.m. at the latest to the attention of Mrs. Komguem at the following email address: hrservices@takenco.com<br><br>Documents to attach:<br><br><br>	A letter of motivation<br>	Resume (CV)<br>	Your diplomas (copied or scanned), in addition to any certifications in the field",TAKENCO,CDI,Yaoundé,08-06-2021,02-07-2021,mailto:hrservices@takenco.com
FULL STACK DEVELOPER ,"OFFRE D'EMPLOI<br><br>La société Axxentis recherche 02 Développeurs Full Stack pour intégrer son équipe dans le cadre d’un emploi. Vous évoluerez au sein d’une équipe au savoir-faire reconnu sur des projets & vous serez positionné(e) sur des projets innovants et à forte valeur ajoutée.<br><br>Type de l'offre : Temps Plein<br><br>Lieu d’affectation : Yaoundé-Cameroun<br><br>Type de contrat : CDD<br><br>Missions:<br><br>Le développeur Full Stack intervient dans la modélisation, le développement Front-end/Back-end/Base de données, des projets auxquels il sera affecté.<br><br>Profil<br><br><br>	Diplômé(e) minimum d'un Bac+3 en Informatique ;<br>	Au moins 2 ans d'expérience confirmée en tant que développeur avec la maitrise des domaines suivants :<br>	Modelisation UML ; <br>	Ionic/Angular, Bootstrap, HTML/CSS/JavaScript/TypeScript<br>	JAVA, Micro services, Spring Boot, Spring Security, Spring Data<br><br><br>Envoyez vos candidatures (LM+CV+ pièces justificatives précédents emplois) à l’adresse mail suivante : career@axxentis.com",Axxentis Sarl,CDD,Yaoundé,08-07-2021,15-07-2021,mailto:career@axxentis.com
Software Developer ,"JOB ADVERT<br><br>Unity Co-operative Society (UNICS) Plc is a Microfinance Institution created on the 15th of January 2000. Among other conventional financial products like savings accounts and current accounts, UNICS Plc has invested a lot in the development of value added services like Automated Teller Machine and the sale of Bank Cards, Online Banking, SMS Banking, Virtual Private Network, and many others. For the past 22 years, UNICS Plc has been able to position herself as one of the fastest growing financial institutions in Cameroon with highly improved technological facilities and well-developed products tailored to the needs of the public.<br><br>We are seeking the services of a Candidate who would be ready to work at the Head Office in Yaounde in the following position:<br><br>Software Developer:<br><br>Computer Programming and Coding:<br><br><br>	Java<br>	Python<br>	C#/.Net<br>	Mean<br>	Ruby<br><br><br>Software Development:<br><br><br>	Software development entails being able to analyze users’ needs and then design, test, and develop software to meet those needs. <br><br><br>Object-Oriented Design (OOD)<br><br>Programming using object - oriented design. This approach involves the process of planning a system of interacting objects for the purpose of solving a software problem.<br><br>Object - oriented design encompasses four key principles:<br><br><br>	Abstraction<br>	Encapsulation<br>	Inheritance<br>	Polymorphism<br><br><br>Software Testing and Debugging:<br><br><br>	Software testing and debugging require you to think analytically about how a system is put together.<br><br><br>Problem Solving and Logical Thinking<br><br><br>	Software problems can arise from even the smallest of errors, and programmers spend a high percentage of their time debugging rather than writing code. Therefore, being able to not only pinpoint software issues but also use deductive reasoning to solve problems is crucial to many software engineering jobs.<br><br><br>Written and Verbal Communication<br><br><br>	“One of the important characteristics of a good software engineer is the ability to explain something technical or complex to a layperson. Communication will also serve you well when a customer has a problem with your company’s software.<br><br><br>Teamwork<br><br><br>	Interpersonal skills are crucial for software engineers since they often work in teams. As a result, “having respect for others, having the ability to listen, having the ability to accept criticism, having the ability to empathize…those are all important skills.<br><br><br>Interested candidates who fully meet the above requirements should send their detailed Curriculum Vitae via: humanresources@unicsgroup.com not later than 12th March 2022.",UNICS Plc. Microfinance Institution,CDI,Yaoundé,04-03-2022,12-03-2022,mailto:humanresources@unicsgroup.com
Software Developer Interns ,"INTERNSHIP ADVERT<br><br>Context:<br><br> The proposed internship is for an internally initiated project to develop extensions to the WindChill PLM:<br><br><br>	Adapt the visual aspect to the client's needs by customizing the options.<br>	Create reports in different forms.<br>	 Introduce new functionalities as an add-on to facilitate the process. <br><br><br>Description:<br><br>The objective of this internship is to initiate a professional framework to facilitate the development of extensions to the Windchill PLM solution in a collaborative environment. <br><br>The work will consist of:<br><br><br>	JAVA implementation of PLM product modules (Windchill)<br>	 Database analysis (Oracle and MS SQL Server)<br>	 Programming: Java and C++<br>	 Customization of a PLM product and deployment<br><br><br>Technical Environment :<br><br>Programming Language : Java, PHP, Perl, C++<br><br>Database: SQL Server / MySQL<br><br>Skills Required:<br><br><br>	Knowledge of Java or C#, .NET programming languages<br>	 Knowledge of SQL and database applications such as Microsoft SQL or ORACLE.<br>	 Experience in an agile and/or DevOps development environment.<br>	 Experience in specifying and implementing interfaces (REST, SOAP or HTTP)<br>	Knowledge of PLM software and PLM process would be an asset.<br>	 Fluent business English required, German language skills would be an advantage. <br>	 Rigorous, organized, technically creative, and able to work independently and under pressure.<br><br><br>Modalities<br><br>The trainee will be supervised throughout the internship on all technical aspects (analysis, design, development and deployment phases).<br><br>Job Type: Full Time, Pre Employment Internship<br><br>A complete application file consisting of a letter of motivation, curriculum vitae and photocopies of diplomas must be sent no later than May 31, 2022 to the following address: recrutement@davca.fr",DAVCA SARL,STAGE,Yaoundé,23-05-2022,31-05-2022,mailto:recrutement@davca.fr
Full Stack Developer ,"JOB ADVERT<br><br>Beambuy SARL. is a company focusing on providing quality, authentic and original products and services to our clients. We are a company intent on innovation and originality, excited about our products and services and wishing to share that excitement with our clients. <br><br>We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties. They will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.<br><br>Full Stack Developer Responsibilities:<br><br><br>	Developing front end website architecture.<br>	Designing user interactions on web pages.<br>	Developing back-end website applications.<br>	Creating servers and databases for functionality.<br>	Ensuring cross-platform optimization for mobile phones.<br>	Ensuring responsiveness of applications.<br>	Working alongside graphic designers for web design features.<br>	Seeing through a project from conception to finished product.<br>	Designing and developing APIs.<br>	Meeting both technical and consumer needs.<br>	Staying abreast of developments in web applications and programming languages.<br><br><br>Full Stack Developer Requirements:<br><br><br>	Proven experience as a Full Stack Developer or similar role<br>	Experience developing desktop and mobile applications<br>	Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.<br>	Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.<br>	Proficiency with server-side languages such as Python, Ruby, Java, PHP, and .Net.<br>	Familiarity with database technology such as MySQL, Oracle, and MongoDB.<br>	Excellent verbal communication skills.<br>	Good problem-solving skills.<br>	Attention to detail, organizational skills and an analytical mind. <br>	Degree in Computer Science, Statistics or relevant field.<br><br><br>For interested parties, send us an email with your CV attached to contact@beambuy.store before 01/10/2022. <br><br>You can also contact us through whatsapp at +237 672 21 68 27.",Beambuy SARL,CDI,Yaoundé,20-09-2022,01-10-2022,mailto:contact@beambuy.store
